epoch,time(s),train_loss,test_loss,test_acc(%)
001,00081,3.757596,3.90431,8.85
002,00072,3.458419,3.52960,15.16
003,00072,3.147327,3.77094,17.79
004,00072,2.650523,2.76506,29.13
005,00072,2.380552,2.52873,34.40
006,00073,2.247946,2.42258,37.12
007,00073,2.185094,2.29575,38.57
008,00073,2.000517,2.04223,43.95
009,00073,1.942829,2.03411,45.36
010,00072,1.798314,1.99706,46.13
011,00072,1.873286,2.15930,43.99
012,00075,1.741130,2.24454,43.59
013,00085,1.722195,2.03716,46.73
014,00073,1.711258,1.88622,48.93
015,00073,1.634119,1.79136,51.19
016,00078,1.683863,1.92056,49.49
017,00082,1.606506,1.77913,51.93
018,00073,1.620859,1.91166,50.19
019,00087,1.604860,1.77862,52.27
020,00081,1.580399,1.77810,52.27
021,00075,1.551616,1.71299,53.35
022,00089,1.556773,1.74064,51.71
023,00079,1.524230,1.76495,51.92
024,00076,1.566634,1.72757,53.07
025,00089,1.563790,2.06501,47.81
026,00077,1.389995,1.61408,55.31
027,00085,1.515538,1.94464,50.38
028,00083,1.465624,1.81752,52.04
029,00075,1.449281,1.67018,54.21
030,00089,1.471605,1.93783,50.24
031,00078,1.403623,1.82826,51.54
032,00078,1.407327,1.85445,50.29
033,00083,1.475761,1.66260,54.70
034,00072,1.417961,1.76636,52.17
035,00082,1.412022,1.54965,57.60
036,00080,1.437457,1.64620,54.76
037,00075,1.411312,1.65894,54.75
038,00090,1.426494,1.77243,52.05
039,00075,1.380639,1.78587,53.56
040,00087,1.494513,1.75740,52.39
041,00090,1.412821,1.70863,54.39
042,00074,1.414765,1.62778,55.64
043,00081,1.490733,1.70384,53.94
044,00091,1.434075,1.80739,52.85
045,00077,1.313007,1.82389,51.63
046,00086,1.431033,1.77918,53.43
047,00087,1.376478,1.55871,56.50
048,00077,1.403644,1.74486,53.47
049,00090,1.453033,1.72318,53.46
050,00076,1.423665,1.67884,54.72
051,00092,1.453128,1.65647,55.44
052,00091,1.453124,1.64590,55.26
053,00075,1.409928,1.63954,54.74
054,00091,1.343560,1.60857,56.65
055,00089,1.388706,1.62385,56.46
056,00075,1.368520,1.63935,55.38
057,00091,1.293023,1.58896,56.52
058,00090,1.307304,1.85786,52.42
059,00091,1.404992,1.56534,57.12
060,00084,1.412280,1.96173,50.45
061,00082,1.381005,1.74349,52.90
062,00090,1.338833,1.62239,56.32
063,00090,1.418584,1.70103,54.49
064,00073,1.467372,1.82027,52.39
065,00087,1.290001,1.71548,55.20
066,00090,1.327802,1.53973,57.35
067,00076,1.365539,1.61281,56.29
068,00087,1.368882,1.51453,58.49
069,00090,1.380952,1.60499,56.15
070,00089,1.402298,1.73941,53.64
071,00073,1.412721,1.61183,56.18
072,00087,1.371600,1.69976,53.98
073,00080,1.345357,1.53147,58.04
074,00078,1.410243,1.77763,53.34
075,00089,1.359019,1.82638,53.38
076,00074,1.335989,1.73296,53.18
077,00088,1.328222,1.68216,55.42
078,00090,1.446117,1.72041,54.63
079,00086,1.318373,1.63067,56.65
080,00081,1.304381,1.74820,53.72
081,00093,0.867930,0.99106,70.71
082,00092,0.730348,0.96672,71.46
083,00092,0.778734,0.95178,72.53
084,00093,0.730481,0.95081,72.75
085,00093,0.709265,0.95182,72.53
086,00092,0.643590,0.94765,72.77
087,00092,0.657093,0.96035,72.74
088,00092,0.609783,0.97683,72.69
089,00093,0.630881,0.97110,72.77
090,00093,0.621210,0.96346,72.99
091,00094,0.564627,0.96898,72.69
092,00093,0.579426,0.96863,73.06
093,00093,0.590447,1.01723,72.37
094,00093,0.552015,0.98722,73.00
095,00093,0.541740,1.00980,72.46
096,00093,0.550844,1.00163,72.52
097,00093,0.523933,1.00621,72.86
098,00093,0.519294,1.02431,71.95
099,00092,0.547731,1.02260,72.75
100,00091,0.535357,1.00357,72.37
101,00090,0.539353,1.04964,71.94
102,00091,0.572600,1.03383,72.22
103,00090,0.528688,1.04370,71.68
104,00090,0.534894,1.03612,72.50
105,00090,0.588022,1.05744,71.75
106,00090,0.550164,1.10333,70.66
107,00090,0.567950,1.07932,71.70
108,00090,0.551640,1.06940,71.15
109,00089,0.540363,1.05120,72.07
110,00089,0.551697,1.05150,71.42
111,00074,0.534701,1.07469,71.67
112,00079,0.527278,1.11234,71.14
113,00090,0.551954,1.08241,71.51
114,00074,0.496325,1.05987,71.38
115,00085,0.499584,1.10158,70.75
116,00089,0.487576,1.09573,71.00
117,00075,0.519002,1.10113,71.12
118,00091,0.459082,1.06697,71.48
119,00092,0.513039,1.11109,71.08
120,00092,0.534637,1.14513,70.61
121,00092,0.534466,1.09936,71.19
122,00091,0.520452,1.14447,70.07
